statsDataId,stat_name,statistics_name,title,cycle,survey_date,open_date,updated_date
0002070021,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類(平成17年改定）（総数：金額）,月次,0,2010-01-29,2026-03-11
0002070022,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成17年改定）（総数：金額）,四半期,0,2010-05-14,2026-05-12
0002070023,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成17年改定）（総数：金額）,年次,0,2011-02-15,2026-05-19
0003013276,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成22年改定）（総数：金額）,月次,0,2015-02-06,2026-03-11
0003015188,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成22年改定）（総数：金額）,四半期,0,2015-08-11,2026-05-12
0003021328,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成22年改定）（総数：金額）,年次,0,2015-02-17,2026-05-19
0003103532,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成27年改定）（総数：金額）,月次,0,2020-02-07,2026-03-11
0003105193,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成27年改定）（総数：金額）,四半期,0,2020-02-07,2026-05-12
0003125169,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成27年改定）（総数：金額）,年次,0,2020-02-07,2026-05-19
0003343671,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2020年改定）（総数：金額）,月次,0,2025-02-07,2026-03-11
0003348233,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2020年改定）（総数：金額）,四半期,0,2025-02-07,2026-05-12
0003348239,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2020年改定）（総数：金額）,年次,0,2025-02-07,2026-05-19
0004023601,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2025年改定）（総数：金額）,月次,0,2026-07-07,2026-07-07
0004023603,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2025年改定）（総数：金額）,四半期,0,2026-05-12,2026-05-12
0004023605,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2025年改定）（総数：金額）,年次,0,2026-02-06,2026-05-19
0002070018,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成17年改定）（総数：数量）,月次,0,2010-01-29,2026-03-11
0002070019,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成17年改定）（総数：数量）,四半期,0,2010-05-14,2026-05-12
0002070020,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成17年改定）（総数：数量）,年次,0,2011-02-15,2026-05-19
0003013860,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成22年改定）（総数：数量）,月次,0,2015-01-30,2026-03-11
0003015189,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成22年改定）（総数：数量）,四半期,0,2015-08-11,2026-05-12
0003021326,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成22年改定）（総数：数量）,年次,0,2015-02-17,2026-05-19
0003103522,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成27年改定）（総数：数量）,月次,0,2020-02-07,2026-03-11
0003105161,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成27年改定）（総数：数量）,四半期,0,2020-02-07,2026-05-12
0003125093,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成27年改定）（総数：数量）,年次,0,2020-02-07,2026-05-19
0003343670,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2020年改定）（総数：数量）,月次,0,2025-02-07,2026-03-11
0003348230,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2020年改定）（総数：数量）,四半期,0,2025-02-07,2026-05-12
0003348235,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2020年改定）（総数：数量）,年次,0,2025-02-07,2026-05-19
0004023602,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2025年改定）（総数：数量）,月次,0,2026-07-07,2026-07-07
0004023604,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2025年改定）（総数：数量）,四半期,0,2026-05-12,2026-05-12
0004023606,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2025年改定）（総数：数量）,年次,0,2026-02-06,2026-05-19
0002070025,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成17年改定）（年間収入五分位階級：金額）,年次,0,2011-02-15,2026-05-19
0003021327,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成22年改定）（年間収入五分位階級：金額）,年次,0,2015-02-17,2026-05-19
0003125170,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成27年改定）（年間収入五分位階級：金額）,年次,0,2020-02-07,2026-05-19
0003348240,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2020年改定）（年間収入五分位階級：金額）,年次,0,2025-02-07,2026-05-19
0004023607,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（2025年改定）（年間収入五分位階級：金額）,年次,0,2026-02-06,2026-05-19
0002070024,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成17年改定）（年間収入五分位階級：数量）,年次,0,2011-02-15,2026-05-19
0003021325,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成22年改定）（年間収入五分位階級：数量）,年次,0,2015-02-17,2026-05-19
0003125094,家計調査,家計調査 家計収支編 二人以上の世帯,品目分類 品目分類（平成27年改定）（年間収入五分位階級：数量）,年次,0,2020-02-07,2026-05-19
